+--------------------------------+-------------+------------+----------+--------+--------+
|             Model              |    Split    |    Mode    | Accuracy | Errors |  Miss  |
| gemini-2.5-flash-preview-04-17 | C_metaphors |  one-shot  |  59.15%  | 0.00%  | 16.95% |
| gemini-2.5-flash-preview-04-17 | C_metaphors | three-shot |  58.98%  | 0.00%  | 15.44% |
| gemini-2.5-flash-preview-04-17 | C_metaphors |  two-shot  |  62.09%  | 0.00%  | 12.67% |
| glm-4v-plus                    | C_metaphors |    cot     |  62.74%  | 0.00%  | 0.00%  |
| glm-4v-plus                    | C_metaphors |   domain   |  64.33%  | 0.00%  | 0.03%  |
| glm-4v-plus                    | C_metaphors |  emotion   |  64.57%  | 0.00%  | 0.03%  |
| glm-4v-plus                    | C_metaphors |    none    |  65.09%  | 0.00%  | 0.03%  |
| glm-4v-plus                    | C_metaphors |  one-shot  |  63.40%  | 0.00%  | 0.03%  |
| glm-4v-plus                    | C_metaphors | three-shot |  52.18%  | 0.00%  | 0.07%  |
| glm-4v-plus                    | C_metaphors |  two-shot  |  63.92%  | 0.00%  | 0.00%  |
| gpt4o                          | C_metaphors |    cot     |  62.05%  | 0.00%  | 0.24%  |
| gpt4o                          | C_metaphors |   domain   |  60.53%  | 0.00%  | 0.90%  |
| gpt4o                          | C_metaphors |  emotion   |  60.29%  | 0.00%  | 0.86%  |
| gpt4o                          | C_metaphors |    none    |  59.60%  | 0.00%  | 1.31%  |
| gpt4o                          | C_metaphors |  one-shot  |  68.16%  | 0.00%  | 0.10%  |
| gpt4o                          | C_metaphors | three-shot |  69.41%  | 0.00%  | 0.00%  |
| gpt4o                          | C_metaphors |  two-shot  |  68.27%  | 0.00%  | 0.00%  |
| idefics2-8b                    | C_metaphors |    cot     |  38.26%  | 0.00%  | 0.03%  |
| idefics2-8b                    | C_metaphors |   domain   |  34.63%  | 0.00%  | 0.00%  |
| idefics2-8b                    | C_metaphors |  emotion   |  38.12%  | 0.00%  | 0.00%  |
| idefics2-8b                    | C_metaphors |    none    |  38.16%  | 0.00%  | 0.00%  |
| idefics2-8b                    | C_metaphors |  one-shot  |  42.92%  | 0.00%  | 0.00%  |
| idefics2-8b                    | C_metaphors | three-shot |  39.47%  | 0.00%  | 0.00%  |
| idefics2-8b                    | C_metaphors |  two-shot  |  41.06%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors |    cot     |  67.10%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors |   domain   |  67.05%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors |  emotion   |  60.28%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors |    none    |  66.92%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors |  one-shot  |  69.80%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors | three-shot |  69.98%  | 0.00%  | 0.00%  |
| qwen-vl-max-latest             | C_metaphors |  two-shot  |  69.46%  | 0.00%  | 0.00%  |
| qwen2.5-vl-72b-instruct        | C_metaphors |    cot     |  63.19%  | 0.00%  | 0.00%  |
| qwen2.5-vl-72b-instruct        | C_metaphors |   domain   |  65.01%  | 0.00%  | 0.00%  |
| qwen2.5-vl-72b-instruct        | C_metaphors |  emotion   |  60.81%  | 0.00%  | 0.00%  |
| qwen2.5-vl-72b-instruct        | C_metaphors |    none    |  66.57%  | 0.00%  | 0.03%  |
| qwen2.5-vl-72b-instruct        | C_metaphors |  one-shot  |  62.56%  | 0.00%  | 0.00%  |
| qwen2.5-vl-72b-instruct        | C_metaphors | three-shot |  69.98%  | 0.00%  | 0.00%  |
| qwen2.5-vl-72b-instruct        | C_metaphors |  two-shot  |  68.84%  | 0.00%  | 0.00%  |
| visualglm-6b                   | C_metaphors |    cot     |  15.02%  | 0.00%  | 28.66% |
| visualglm-6b                   | C_metaphors |   domain   |  14.71%  | 0.00%  | 39.16% |
| visualglm-6b                   | C_metaphors |  emotion   |  14.57%  | 0.00%  | 41.89% |
| visualglm-6b                   | C_metaphors |    none    |  19.72%  | 0.00%  | 29.49% |
| visualglm-6b                   | C_metaphors |  one-shot  |  25.59%  | 0.00%  | 0.14%  |
| visualglm-6b                   | C_metaphors | three-shot |  39.68%  | 0.00%  | 0.00%  |
| visualglm-6b                   | C_metaphors |  two-shot  |  26.00%  | 0.00%  | 0.10%  |
| yi_vl_34b_chat                 | C_metaphors |    cot     |  54.07%  | 0.00%  | 0.10%  |
| yi_vl_34b_chat                 | C_metaphors |   domain   |  56.94%  | 0.00%  | 0.00%  |
| yi_vl_34b_chat                 | C_metaphors |  emotion   |  58.91%  | 0.00%  | 0.00%  |
| yi_vl_34b_chat                 | C_metaphors |    none    |  59.25%  | 0.00%  | 0.00%  |
| yi_vl_34b_chat                 | C_metaphors |  one-shot  |  59.19%  | 0.00%  | 0.00%  |
| yi_vl_34b_chat                 | C_metaphors | three-shot |  59.91%  | 0.00%  | 0.00%  |
| yi_vl_34b_chat                 | C_metaphors |  two-shot  |  58.84%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors |    cot     |  50.59%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors |   domain   |  49.31%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors |  emotion   |  51.62%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors |    none    |  50.41%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors |  one-shot  |  51.21%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors | three-shot |  51.59%  | 0.00%  | 0.00%  |
| yi_vl_6b_chat                  | C_metaphors |  two-shot  |  51.69%  | 0.00%  | 0.00%  |
+--------------------------------+-------------+------------+----------+--------+--------+
